ID,cluster_ID
865,-1
866,-1
867,-1
868,-1
869,26
870,-1
871,42
872,-1
873,-1
874,-1
875,12
876,0
877,-1
878,0
879,-1
880,-1
881,-1
882,4
883,-1
884,-1
885,-1
886,0
887,11
888,-1
889,-1
890,4
891,4
892,14
893,-1
894,-1
895,-1
896,-1
897,-1
898,-1
899,26
900,-1
901,-1
902,4
903,-1
904,-1
905,-1
906,-1
907,39
908,-1
909,-1
910,-1
911,12
912,-1
913,-1
914,-1
915,32
916,0
917,0
918,0
919,-1
920,-1
921,-1
922,4
923,-1
924,12
925,-1
926,9
927,12
928,-1
929,21
930,22
931,-1
932,-1
933,37
934,-1
935,-1
936,-1
937,23
938,-1
939,23
940,11
941,12
942,12
943,26
944,-1
945,33
946,38
947,26
948,26
949,-1
950,-1
951,16
952,-1
953,-1
954,-1
955,-1
956,37
957,-1
958,-1
959,-1
960,-1
961,-1
962,-1
963,12
964,12
965,26
966,-1
967,16
968,-1
969,-1
970,-1
971,-1
972,-1
973,-1
974,-1
975,-1
976,-1
977,-1
978,-1
979,-1
980,-1
981,-1
982,-1
983,12
984,34
985,15
986,-1
987,15
988,23
989,-1
990,17
991,-1
992,-1
993,26
994,8
995,12
996,26
997,21
998,26
999,-1
1000,26
1001,41
1002,-1
1003,-1
1004,-1
1005,-1
1006,12
1007,-1
1008,-1
1009,-1
1010,-1
1011,23
1012,-1
1013,12
1014,0
1015,-1
1016,-1
1017,-1
1018,-1
1019,-1
1020,-1
1021,-1
1022,12
1023,-1
1024,30
1025,-1
1026,-1
1027,36
1028,-1
1029,42
1030,-1
1031,40
1032,-1
1033,-1
1034,42
1035,-1
1036,30
1037,-1
1038,30
1039,36
1040,41
1041,42
1042,-1
1043,-1
1044,-1
1045,-1
1046,29
1047,-1
1048,-1
1049,-1
1050,41
1051,-1
1052,-1
1053,-1
1054,0
1055,-1
1056,-1
1057,10
1058,-1
1059,-1
1060,-1
1061,-1
1062,-1
1063,-1
1064,-1
1065,-1
1066,-1
1067,-1
1068,0
1069,0
1070,14
1071,-1
1072,-1
1073,-1
1074,-1
1075,-1
1076,41
1077,25
1078,8
1079,-1
1080,-1
1081,-1
1082,-1
1083,-1
1084,9
1085,16
1086,-1
1087,-1
1088,-1
1089,-1
1090,12
1091,4
1092,11
1093,-1
1094,-1
1095,0
1096,-1
1097,-1
1098,-1
1099,0
1100,11
1101,-1
1102,-1
1103,0
1104,-1
1105,-1
1106,-1
1107,4
1108,-1
1109,-1
1110,-1
1111,22
1112,12
1113,-1
1114,-1
1115,22
1116,11
1117,12
1118,39
1119,38
1120,42
1121,15
1122,-1
1123,-1
1124,-1
1125,16
1126,34
1127,-1
1128,-1
1129,-1
1130,-1
1131,-1
1132,23
1133,-1
1134,17
1135,-1
1136,-1
1137,-1
1138,-1
1139,-1
1140,-1
1141,-1
1142,-1
1143,-1
1144,32
1145,0
1146,-1
1147,42
1148,30
1149,-1
1150,39
1151,32
1152,12
1153,9
1154,-1
1155,-1
1156,17
1157,41
1158,-1
1159,-1
1160,8
1161,-1
1162,-1
1163,-1
1164,-1
1165,9
1166,18
1167,30
1168,18
1169,-1
1170,-1
1171,-1
1172,-1
1173,37
1174,31
1175,-1
